title,time
YouTube gaat video's met misinformatie over vaccins verwijderen,2021-09-29T15:05:05+0200
Waakhond krijgt meer signalen over malafide beleggingsproducten,2021-09-29T12:33:25+0200
Online gokvergunning voor vier Nederlandse en zes buitenlandse partijen,2021-09-29T11:32:22+0200
Nederlandse boete van 39 miljoen euro voor Samsung vanwege prijsbeïnvloeding,2021-09-29T09:28:54+0200
Aantal varkens in Nederland neemt verder af,2021-09-29T08:32:22+0200
Vrouwen krijgen gemiddeld 40 procent minder pensioen,2021-09-29T07:05:01+0200
Rekenkamer: Aanpak arbeidsuitbuiting levert nauwelijks iets op ,2021-09-28T22:40:33+0200
"IMF: economie goed uit crisis gekomen, meer inzet vereist voor scholen, wonen, klimaat ",2021-09-28T16:06:56+0200
CPB: zeker 65.000 mensen behielden baan in 2020 dankzij coronasteun,2021-09-28T10:07:13+0200
Bedrijven werken aan eigen meldpunt tegen online veiligheidsrisico's,2021-09-28T09:18:47+0200
Nieuwe groentes tegen verspilling: bloemkooltjes en broccoli met dunne stelen,2021-09-28T06:13:53+0200
"Personeel universitaire ziekenhuizen staakt, geen planbare zorg",2021-09-28T05:50:28+0200
Recordboete machtsmisbruik Google in nieuwe fase voor rechters,2021-09-27T09:19:24+0200
Blokker-topman Witteveen doet in aanloop naar beursgang stap opzij,2021-09-27T06:31:18+0200
"Britse transportminister: 'Doe normaal, tank pas als het nodig is'",2021-09-26T12:05:56+0200
Economie herstelt sneller dan verwacht. Grote vraag is: blijven de prijzen stijgen? ,2021-09-25T11:59:22+0200
'Amerikaanse huizenkoper Blackstone gebruikt fiscale truc in Nederland',2021-09-25T09:31:28+0200
"Huawei-topvrouw verlaat Canada na deal met justitie, China laat Canadezen vrij",2021-09-24T21:56:55+0200
"Energiebelasting omlaag met tientjes, maar gasprijzen omhoog met honderdjes ",2021-09-24T20:26:19+0200
"Tankstations dicht, restaurants zonder eten door tekort aan Britse vrachtwagenchauffeurs ",2021-09-24T17:30:13+0200
China probeert cryptomunten verder te ondermijnen met verbod op transacties,2021-09-24T13:13:57+0200
"Loonsteun stopt bijna, grootontvangers verwachten geen extra ontslagen",2021-09-24T09:37:40+0200
Natuurbeschermers zeggen sloten AH-filialen Amsterdam te hebben dichtgelijmd,2021-09-24T09:20:37+0200
"Fiscus gaat weer aanmaningen en dwangbevelen sturen, maar wil ook helpen",2021-09-24T06:00:01+0200
Vrouwen komen qua koopkracht slechter uit een scheiding dan mannen,2021-09-24T00:00:53+0200
